"","sigma","omega.1","omega.2","omega.3","rho","lp__","subjid"
"227",0.238083636843044,0.879642108201492,0.0418189242059581,0.0785389675925502,0.33699396015851,-9395.04965123816,2077
"228",0.238209233273764,0.875252971898001,0.0469435522440951,0.077803475857904,0.275526045951439,-9391.74435706567,2077
"229",0.236778741773033,0.877345626118484,0.0437312278229899,0.0789231460585264,0.322806718869247,-9392.43962355887,2077
"230",0.24277873210883,0.883504918822361,0.0423858182923317,0.0741092628853071,0.328216463163968,-9395.03196570722,2077
"231",0.238106850318278,0.877578312942321,0.0453276112693768,0.0770940757883018,0.26762118754691,-9392.19876529478,2077
"232",0.233849622831759,0.868967694112566,0.0468302862196217,0.0842020196678123,0.308750146300645,-9391.23846142507,2077
"233",0.236745704732645,0.869072067671277,0.0464503534002996,0.0844775789284233,0.297119895054852,-9391.48236632326,2077
"234",0.233083753894572,0.868352391082034,0.0477212058137465,0.0839264031042198,0.301645824741987,-9391.1122683246,2077
"235",0.234653812830453,0.876075813773058,0.0452759670188483,0.0786482192080942,0.301473845303755,-9391.25321698172,2077
"236",0.235919250557884,0.87653989274624,0.043352435913823,0.0801076713399371,0.310957431982351,-9392.01182384006,2077
"237",0.241547111805895,0.877017501055348,0.0447759802257923,0.0782065187188594,0.280727801899459,-9391.62084650188,2077
"238",0.243611980275109,0.873319804035857,0.0443899649356991,0.0822902310284443,0.267510728606983,-9393.33066727435,2077
"239",0.233420813315075,0.872549069681933,0.0473780248561225,0.0800729054619447,0.287990552374201,-9391.1347503918,2077
"240",0.229493003975736,0.869257070232338,0.0510271740291799,0.0797157557384819,0.282430600321184,-9393.64565222944,2077
"241",0.245338048056816,0.872662863560214,0.0454025952476945,0.0819345411920916,0.293459996751236,-9393.43594847776,2077
"242",0.238123509578519,0.87697662699537,0.0437799156814874,0.0792434573231427,0.286482120559072,-9391.46807578994,2077
